,date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
0,20180728,Ituri,Bunia,,,,,,,,
0,20180728,Ituri,Komanda,,,,,,,,
0,20180728,Ituri,Mambasa,,,,,,,,
0,20180728,Ituri,Mandima,,,,,,,,
0,20180728,Ituri,Tchomia,,,,,,,,
0,20180728,Kinshasa,Kinshasa,,,,,,,,
0,20180728,North-Kivu,Beni,,,,,,,,
0,20180728,North-Kivu,Butembo,,,,,,,,
0,20180728,North-Kivu,Goma,,,,,,,,
0,20180728,North-Kivu,Kalunguta,,,,,,,,
0,20180728,North-Kivu,Katwa,,,,,,,,
0,20180728,North-Kivu,Mabalako,,,,,,,,
0,20180728,North-Kivu,Maseraka,,,,,,,,
0,20180728,North-Kivu,Musienene,,,,,,,,
0,20180728,North-Kivu,Oicha,,,,,,,,
0,20180728,all,all,,,,,,,,
1,20180729,Ituri,Bunia,,,,,,,,
1,20180729,Ituri,Komanda,,,,,,,,
1,20180729,Ituri,Mambasa,,,,,,,,
1,20180729,Ituri,Mandima,,,,,,,,
1,20180729,Ituri,Tchomia,,,,,,,,
1,20180729,Kinshasa,Kinshasa,,,,,,,,
1,20180729,North-Kivu,Beni,,,,,,,,
1,20180729,North-Kivu,Butembo,,,,,,,,
1,20180729,North-Kivu,Goma,,,,,,,,
1,20180729,North-Kivu,Kalunguta,,,,,,,,
1,20180729,North-Kivu,Katwa,,,,,,,,
1,20180729,North-Kivu,Mabalako,,,,,,,,
1,20180729,North-Kivu,Maseraka,,,,,,,,
1,20180729,North-Kivu,Musienene,,,,,,,,
1,20180729,North-Kivu,Oicha,,,,,,,,
1,20180729,all,all,,,,,,,,
2,20180730,Ituri,Bunia,,,,,,,,
2,20180730,Ituri,Komanda,,,,,,,,
2,20180730,Ituri,Mambasa,,,,,,,,
2,20180730,Ituri,Mandima,,,,,,,,
2,20180730,Ituri,Tchomia,,,,,,,,
2,20180730,Kinshasa,Kinshasa,,,,,,,,
2,20180730,North-Kivu,Beni,,,,,,,,
2,20180730,North-Kivu,Butembo,,,,,,,,
2,20180730,North-Kivu,Goma,,,,,,,,
2,20180730,North-Kivu,Kalunguta,,,,,,,,
2,20180730,North-Kivu,Katwa,,,,,,,,
2,20180730,North-Kivu,Mabalako,,,,,,,,
2,20180730,North-Kivu,Maseraka,,,,,,,,
2,20180730,North-Kivu,Musienene,,,,,,,,
2,20180730,North-Kivu,Oicha,,,,,,,,
2,20180730,all,all,,,,,,,,
3,20180731,Ituri,Bunia,,,,,,,,
3,20180731,Ituri,Komanda,,,,,,,,
3,20180731,Ituri,Mambasa,,,,,,,,
3,20180731,Ituri,Mandima,,,,,,,,
3,20180731,Ituri,Tchomia,,,,,,,,
3,20180731,Kinshasa,Kinshasa,,,,,,,,
3,20180731,North-Kivu,Beni,,,,,,,,
3,20180731,North-Kivu,Butembo,,,,,,,,
3,20180731,North-Kivu,Goma,,,,,,,,
3,20180731,North-Kivu,Kalunguta,,,,,,,,
3,20180731,North-Kivu,Katwa,,,,,,,,
3,20180731,North-Kivu,Mabalako,,,,,,,,
3,20180731,North-Kivu,Maseraka,,,,,,,,
3,20180731,North-Kivu,Musienene,,,,,,,,
3,20180731,North-Kivu,Oicha,,,,,,,,
3,20180731,all,all,,,,,,,,
4,20180801,Ituri,Bunia,,,,,,,,
4,20180801,Ituri,Komanda,,,,,,,,
4,20180801,Ituri,Mambasa,,,,,,,,
4,20180801,Ituri,Mandima,,,,,,,,
4,20180801,Ituri,Tchomia,,,,,,,,
4,20180801,Kinshasa,Kinshasa,,,,,,,,
4,20180801,North-Kivu,Beni,,,,,,,,
4,20180801,North-Kivu,Butembo,,,,,,,,
4,20180801,North-Kivu,Goma,,,,,,,,
4,20180801,North-Kivu,Kalunguta,,,,,,,,
4,20180801,North-Kivu,Katwa,,,,,,,,
4,20180801,North-Kivu,Mabalako,,,,,,,,
4,20180801,North-Kivu,Maseraka,,,,,,,,
4,20180801,North-Kivu,Musienene,,,,,,,,
4,20180801,North-Kivu,Oicha,,,,,,,,
4,20180801,all,all,,,,,,,,
5,20180802,Ituri,Bunia,,,,,,,,
5,20180802,Ituri,Komanda,,,,,,,,
5,20180802,Ituri,Mambasa,,,,,,,,
5,20180802,Ituri,Mandima,,,,,,,,
5,20180802,Ituri,Tchomia,,,,,,,,
5,20180802,Kinshasa,Kinshasa,,,,,,,,
5,20180802,North-Kivu,Beni,,,,,,,,
5,20180802,North-Kivu,Butembo,,,,,,,,
5,20180802,North-Kivu,Goma,,,,,,,,
5,20180802,North-Kivu,Kalunguta,,,,,,,,
5,20180802,North-Kivu,Katwa,,,,,,,,
5,20180802,North-Kivu,Mabalako,,,,,,,,
5,20180802,North-Kivu,Maseraka,,,,,,,,
5,20180802,North-Kivu,Musienene,,,,,,,,
5,20180802,North-Kivu,Oicha,,,,,,,,
5,20180802,all,all,,,,,,,,
6,20180803,Ituri,Bunia,,,,,,,,
6,20180803,Ituri,Komanda,,,,,,,,
6,20180803,Ituri,Mambasa,0.0,0.0,0.0,5.0,0.0,0.0,,
6,20180803,Ituri,Mandima,5.0,0.0,0.0,0.0,5.0,0.0,,
6,20180803,Ituri,Tchomia,,,,,,,,
6,20180803,Kinshasa,Kinshasa,,,,,,,,
6,20180803,North-Kivu,Beni,0.0,3.0,0.0,3.0,0.0,0.0,,
6,20180803,North-Kivu,Butembo,2.0,0.0,0.0,0.0,2.0,0.0,,
6,20180803,North-Kivu,Goma,,,,,,,,
6,20180803,North-Kivu,Kalunguta,,,,,,,,
6,20180803,North-Kivu,Katwa,,,,,,,,
6,20180803,North-Kivu,Mabalako,21.0,10.0,0.0,25.0,24.0,3.0,,
6,20180803,North-Kivu,Maseraka,0.0,0.0,0.0,0.0,0.0,0.0,,
6,20180803,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,,
6,20180803,North-Kivu,Oicha,1.0,0.0,0.0,0.0,1.0,0.0,,
6,20180803,all,all,30.0,13.0,0.0,33.0,33.0,3.0,,
7,20180804,Ituri,Bunia,,,,,,,,
7,20180804,Ituri,Komanda,,,,,,,,
7,20180804,Ituri,Mambasa,,,,,,,,
7,20180804,Ituri,Mandima,,,,,,,,
7,20180804,Ituri,Tchomia,,,,,,,,
7,20180804,Kinshasa,Kinshasa,,,,,,,,
7,20180804,North-Kivu,Beni,,,,,,,,
7,20180804,North-Kivu,Butembo,,,,,,,,
7,20180804,North-Kivu,Goma,,,,,,,,
7,20180804,North-Kivu,Kalunguta,,,,,,,,
7,20180804,North-Kivu,Katwa,,,,,,,,
7,20180804,North-Kivu,Mabalako,,,,,,,,
7,20180804,North-Kivu,Maseraka,,,,,,,,
7,20180804,North-Kivu,Musienene,,,,,,,,
7,20180804,North-Kivu,Oicha,,,,,,,,
7,20180804,all,all,,,,,,,,
8,20180805,Ituri,Bunia,,,,,,,,
8,20180805,Ituri,Komanda,,,,,,,,
8,20180805,Ituri,Mambasa,0.0,0.0,0.0,0.0,0.0,0.0,,
8,20180805,Ituri,Mandima,2.0,0.0,0.0,0.0,2.0,0.0,,
8,20180805,Ituri,Tchomia,,,,,,,,
8,20180805,Kinshasa,Kinshasa,,,,,,,,
8,20180805,North-Kivu,Beni,0.0,3.0,7.0,14.0,0.0,0.0,,
8,20180805,North-Kivu,Butembo,2.0,0.0,0.0,0.0,2.0,0.0,,
8,20180805,North-Kivu,Goma,,,,,,,,
8,20180805,North-Kivu,Kalunguta,,,,,,,,
8,20180805,North-Kivu,Katwa,,,,,,,,
8,20180805,North-Kivu,Mabalako,21.0,13.0,3.0,17.0,28.0,7.0,,
8,20180805,North-Kivu,Maseraka,0.0,0.0,0.0,0.0,0.0,0.0,,
8,20180805,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,,
8,20180805,North-Kivu,Oicha,1.0,0.0,0.0,0.0,1.0,0.0,,
8,20180805,all,all,27.0,16.0,10.0,31.0,34.0,7.0,,
9,20180806,Ituri,Bunia,,,,,,,,
