date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Beni,,,,,,,,
20180729,North-Kivu,Beni,,,,,,,,
20180730,North-Kivu,Beni,,,,,,,,
20180731,North-Kivu,Beni,,,,,,,,
20180801,North-Kivu,Beni,,,,,,,,
20180802,North-Kivu,Beni,,,,,,,,
20180803,North-Kivu,Beni,0,3,0,3,0,0,,
20180804,North-Kivu,Beni,,,,,,,,
20180805,North-Kivu,Beni,0,3,7,14,0,0,,
20180806,North-Kivu,Beni,0,3,13,25,1,1,,
20180807,North-Kivu,Beni,0,4,2,25,1,1,,
20180808,North-Kivu,Beni,0,4,2,22,1,1,,
20180809,North-Kivu,Beni,0,4,2,15,2,2,,
20180810,North-Kivu,Beni,0,4,1,16,2,2,,
20180811,North-Kivu,Beni,0,5,0,7,2,2,,
20180812,North-Kivu,Beni,0,5,2,7,2,2,,
20180813,North-Kivu,Beni,0,5,1,6,2,2,,
20180814,North-Kivu,Beni,0,5,3,7,2,2,,
20180815,North-Kivu,Beni,0,5,2,8,4,4,,100
20180816,North-Kivu,Beni,0,5,1,8,3,3,,
20180817,North-Kivu,Beni,0,5,2,7,3,3,,
20180818,North-Kivu,Beni,0,5,2,3,3,3,,256
20180819,North-Kivu,Beni,0,5,2,2,3,3,,367
20180820,North-Kivu,Beni,0,6,0,0,4,4,,471
20180821,North-Kivu,Beni,0,6,0,0,4,4,,552
20180822,North-Kivu,Beni,0,6,3,3,4,4,,632
20180823,North-Kivu,Beni,1,7,1,1,6,5,,701
20180824,North-Kivu,Beni,1,7,2,2,6,5,,761
20180825,North-Kivu,Beni,1,10,2,2,7,6,,761
20180826,North-Kivu,Beni,1,10,2,3,8,7,,1000
20180827,North-Kivu,Beni,1,10,1,3,8,7,,1095
20180828,North-Kivu,Beni,3,10,5,5,10,7,,1135
20180829,North-Kivu,Beni,3,11,3,3,10,7,,1176
20180830,North-Kivu,Beni,3,13,3,6,10,7,,1286
20180831,North-Kivu,Beni,3,15,4,7,10,7,,1433
20180901,North-Kivu,Beni,3,15,3,4,11,8,,1560
20180902,North-Kivu,Beni,3,16,1,4,12,9,,1633
20180903,North-Kivu,Beni,4,18,4,8,15,11,,1747
20180904,North-Kivu,Beni,4,17,1,1,16,12,,1856
20180905,North-Kivu,Beni,4,18,1,1,17,13,,1930
20180906,North-Kivu,Beni,4,18,2,2,17,13,3,2047
20180907,North-Kivu,Beni,4,20,1,1,18,14,3,2130
20180908,North-Kivu,Beni,4,20,3,4,18,14,3,2190
20180909,North-Kivu,Beni,4,20,1,2,19,15,4,2284
20180910,North-Kivu,Beni,4,20,3,3,19,15,4,2428
20180911,North-Kivu,Beni,4,20,2,2,19,15,4,2533
20180912,North-Kivu,Beni,4,21,8,8,19,15,4,2656
20180913,North-Kivu,Beni,4,24,3,3,20,16,4,2781
20180914,North-Kivu,Beni,4,24,1,1,21,17,4,
20180915,North-Kivu,Beni,4,25,1,1,23,19,4,
20180916,North-Kivu,Beni,4,25,1,1,23,19,4,3123
20180917,North-Kivu,Beni,4,25,3,4,23,19,4,
20180918,North-Kivu,Beni,4,25,1,1,23,19,4,3350
20180919,North-Kivu,Beni,4,25,2,2,23,19,5,3409
20180920,North-Kivu,Beni,4,28,3,3,24,20,5,3455
20180921,North-Kivu,Beni,4,28,4,4,24,20,6,3536
20180922,North-Kivu,Beni,4,29,4,4,24,20,6,3652
20180923,North-Kivu,Beni,4,29,3,3,24,20,6,3652
20180924,North-Kivu,Beni,4,30,1,1,25,21,6,3652
20180925,North-Kivu,Beni,4,30,1,1,25,21,6,3652
20180926,North-Kivu,Beni,4,33,2,2,25,21,8,3662
20180927,North-Kivu,Beni,4,34,4,4,26,22,8,3712
20180928,North-Kivu,Beni,4,35,6,6,26,22,8,3829
20180929,North-Kivu,Beni,5,36,5,5,28,23,8,3958
20180930,North-Kivu,Beni,5,37,4,4,29,24,8,4095
20181001,North-Kivu,Beni,5,37,7,7,29,24,8,4248
20181002,North-Kivu,Beni,5,38,7,7,29,24,9,4375
20181003,North-Kivu,Beni,5,40,16,16,29,24,10,4557
20181004,North-Kivu,Beni,5,41,6,6,29,24,10,4737
20181005,North-Kivu,Beni,5,46,7,7,30,25,11,4937
20181006,North-Kivu,Beni,8,47,6,6,34,26,12,5072
20181007,North-Kivu,Beni,8,49,13,13,35,27,12,5250
20181008,North-Kivu,Beni,8,55,14,14,38,30,13,5385
20181009,North-Kivu,Beni,8,61,15,15,42,34,15,5616
