date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Kalunguta,,,,,,,,
20180729,North-Kivu,Kalunguta,,,,,,,,
20180730,North-Kivu,Kalunguta,,,,,,,,
20180731,North-Kivu,Kalunguta,,,,,,,,
20180801,North-Kivu,Kalunguta,,,,,,,,
20180802,North-Kivu,Kalunguta,,,,,,,,
20180803,North-Kivu,Kalunguta,,,,,,,,
20180804,North-Kivu,Kalunguta,,,,,,,,
20180805,North-Kivu,Kalunguta,,,,,,,,
20180806,North-Kivu,Kalunguta,,,,,,,,
20180807,North-Kivu,Kalunguta,,,,,,,,
20180808,North-Kivu,Kalunguta,,,,,,,,
20180809,North-Kivu,Kalunguta,,,,,,,,
20180810,North-Kivu,Kalunguta,,,,,,,,
20180811,North-Kivu,Kalunguta,,,,,,,,
20180812,North-Kivu,Kalunguta,,,,,,,,
20180813,North-Kivu,Kalunguta,,,,,,,,
20180814,North-Kivu,Kalunguta,,,,,,,,
20180815,North-Kivu,Kalunguta,,,,,,,,
20180816,North-Kivu,Kalunguta,,,,,,,,
20180817,North-Kivu,Kalunguta,,,,,,,,
20180818,North-Kivu,Kalunguta,,,,,,,,
20180819,North-Kivu,Kalunguta,,,,,,,,
20180820,North-Kivu,Kalunguta,,,,,,,,
20180821,North-Kivu,Kalunguta,,,,,,,,
20180822,North-Kivu,Kalunguta,,,,,,,,
20180823,North-Kivu,Kalunguta,,,,,,,,
20180824,North-Kivu,Kalunguta,,,,,,,,
20180825,North-Kivu,Kalunguta,,,,,,,,
20180826,North-Kivu,Kalunguta,,,,,,,,
20180827,North-Kivu,Kalunguta,,,,,,,,
20180828,North-Kivu,Kalunguta,,,,,,,,
20180829,North-Kivu,Kalunguta,,,,,,,,
20180830,North-Kivu,Kalunguta,,,,,,,,
20180831,North-Kivu,Kalunguta,,,,,,,,
20180901,North-Kivu,Kalunguta,,,,,,,,
20180902,North-Kivu,Kalunguta,,,,,,,,
20180903,North-Kivu,Kalunguta,,,,,,,,
20180904,North-Kivu,Kalunguta,0,1,0,0,0,0,,
20180905,North-Kivu,Kalunguta,0,1,0,0,0,0,,
20180906,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180907,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180908,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180909,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180910,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180911,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180912,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180913,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180914,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180915,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180916,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180917,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180918,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180919,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180920,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180921,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180922,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180923,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180924,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180925,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180926,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180927,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180928,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180929,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180930,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181001,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181002,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181003,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181004,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181005,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181006,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181007,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181008,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181009,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181010,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181011,North-Kivu,Kalunguta,0,2,1,1,1,1,1,
20181012,North-Kivu,Kalunguta,0,2,,,1,1,1,
20181013,North-Kivu,Kalunguta,0,2,0,0,1,1,1,
20181014,North-Kivu,Kalunguta,0,2,1,1,1,1,1,45
20181015,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181016,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181017,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181018,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181019,North-Kivu,Kalunguta,0,2,2,2,1,1,1,105
20181020,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181021,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181022,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181023,North-Kivu,Kalunguta,0,2,0,0,1,1,1,185
20181024,North-Kivu,Kalunguta,0,2,1,1,1,1,1,185
20181025,North-Kivu,Kalunguta,0,2,0,0,1,1,1,227
20181026,North-Kivu,Kalunguta,0,2,0,0,1,1,1,227
20181027,North-Kivu,Kalunguta,0,2,1,1,1,1,1,227
20181028,North-Kivu,Kalunguta,0,2,1,1,1,1,1,227
20181029,North-Kivu,Kalunguta,0,2,3,3,1,1,1,227
20181030,North-Kivu,Kalunguta,0,2,3,3,1,1,1,227
20181031,North-Kivu,Kalunguta,0,2,1,1,1,1,1,307
20181101,North-Kivu,Kalunguta,0,2,0,0,1,1,1,387
20181102,North-Kivu,Kalunguta,0,2,7,7,1,1,1,387
20181103,North-Kivu,Kalunguta,0,2,2,2,1,1,1,457
20181104,North-Kivu,Kalunguta,0,3,1,1,1,1,1,407
20181105,North-Kivu,Kalunguta,0,6,2,2,1,1,1,507
20181106,North-Kivu,Kalunguta,0,6,1,1,1,1,1,
20181107,North-Kivu,Kalunguta,0,7,6,6,1,1,1,807
20181108,North-Kivu,Kalunguta,0,7,2,2,1,1,1,947
20181109,North-Kivu,Kalunguta,0,9,2,2,1,1,1,1117
20181110,North-Kivu,Kalunguta,0,9,2,2,1,1,,1237
20181111,North-Kivu,Kalunguta,5,19,4,4,6,1,,1337
20181112,North-Kivu,Kalunguta,5,23,0,0,,,,1337
20181113,North-Kivu,Kalunguta,5,23,1,1,,,,1507
20181114,North-Kivu,Kalunguta,5,24,1,1,,,,1547
20181115,North-Kivu,Kalunguta,12,24,4,4,22,10,,1602
20181116,North-Kivu,Kalunguta,12,24,1,1,22,10,,1602
20181117,North-Kivu,Kalunguta,12,24,1,1,22,10,,1672
20181118,North-Kivu,Kalunguta,12,24,1,1,22,10,,1672
20181119,North-Kivu,Kalunguta,12,25,5,5,22,10,,1712
20181120,North-Kivu,Kalunguta,12,27,0,0,22,10,,1722
20181121,North-Kivu,Kalunguta,12,28,1,1,22,10,,1751
20181122,North-Kivu,Kalunguta,12,28,3,3,22,10,,1751
20181123,North-Kivu,Kalunguta,12,29,4,4,22,10,,1751
20181124,North-Kivu,Kalunguta,12,31,1,1,22,10,,1788
20181125,North-Kivu,Kalunguta,12,32,0,0,23,11,,1788
20181126,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181127,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181128,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181129,North-Kivu,Kalunguta,12,33,2,2,23,11,,1828
20181130,North-Kivu,Kalunguta,12,34,1,1,23,11,,1853
20181201,North-Kivu,Kalunguta,12,34,4,4,23,11,,1930
20181202,North-Kivu,Kalunguta,12,35,0,0,24,12,,1997
20181203,North-Kivu,Kalunguta,12,35,0,0,24,12,,1997
20181204,North-Kivu,Kalunguta,12,35,0,0,24,12,,2037
20181205,North-Kivu,Kalunguta,12,35,1,1,24,12,,2092
