date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Mabalako,,,,,,,,
20180729,North-Kivu,Mabalako,,,,,,,,
20180730,North-Kivu,Mabalako,,,,,,,,
20180731,North-Kivu,Mabalako,,,,,,,,
20180801,North-Kivu,Mabalako,,,,,,,,
20180802,North-Kivu,Mabalako,,,,,,,,
20180803,North-Kivu,Mabalako,21,10,0,25,24,3,,
20180804,North-Kivu,Mabalako,,,,,,,,
20180805,North-Kivu,Mabalako,21,13,3,17,28,7,,
20180806,North-Kivu,Mabalako,21,13,4,21,29,8,,
20180807,North-Kivu,Mabalako,21,13,7,22,29,8,,
20180808,North-Kivu,Mabalako,21,13,8,30,30,9,,
20180809,North-Kivu,Mabalako,21,17,6,36,30,9,,
20180810,North-Kivu,Mabalako,21,18,6,36,30,9,,
20180811,North-Kivu,Mabalako,21,20,7,37,31,10,,
20180812,North-Kivu,Mabalako,21,24,8,45,32,11,,
20180813,North-Kivu,Mabalako,21,27,5,22,32,11,,
20180814,North-Kivu,Mabalako,21,34,10,24,33,12,,
20180815,North-Kivu,Mabalako,21,39,4,6,33,12,,176
20180816,North-Kivu,Mabalako,21,48,4,4,37,16,,
20180817,North-Kivu,Mabalako,21,51,6,9,39,18,,
20180818,North-Kivu,Mabalako,21,52,5,5,40,19,,467
20180819,North-Kivu,Mabalako,21,57,3,3,45,24,,697
20180820,North-Kivu,Mabalako,21,61,7,7,48,27,,903
20180821,North-Kivu,Mabalako,21,62,6,6,50,29,,1178
20180822,North-Kivu,Mabalako,21,62,3,9,52,31,,1311
20180823,North-Kivu,Mabalako,21,62,7,7,54,33,,1422
20180824,North-Kivu,Mabalako,21,63,2,3,57,36,,1712
20180825,North-Kivu,Mabalako,21,64,2,3,58,37,,1822
20180826,North-Kivu,Mabalako,21,64,3,6,60,39,,1992
20180827,North-Kivu,Mabalako,21,64,5,9,60,39,,2278
20180828,North-Kivu,Mabalako,21,65,5,5,60,39,,2372
20180829,North-Kivu,Mabalako,21,65,5,5,60,39,,2523
20180830,North-Kivu,Mabalako,21,65,1,6,60,39,,2707
20180831,North-Kivu,Mabalako,21,65,3,4,61,40,,2852
20180901,North-Kivu,Mabalako,21,65,1,4,62,41,,3036
20180902,North-Kivu,Mabalako,21,65,5,6,62,41,,3076
20180903,North-Kivu,Mabalako,21,65,5,8,63,42,,3120
20180904,North-Kivu,Mabalako,21,66,3,3,63,42,,3210
20180905,North-Kivu,Mabalako,21,66,5,5,63,42,23,3279
20180906,North-Kivu,Mabalako,21,66,4,4,63,42,24,3338
20180907,North-Kivu,Mabalako,21,66,7,7,63,42,26,3435
20180908,North-Kivu,Mabalako,21,66,9,16,63,42,26,3475
20180909,North-Kivu,Mabalako,21,66,2,7,63,42,26,3503
20180910,North-Kivu,Mabalako,21,66,3,5,64,43,26,3572
20180911,North-Kivu,Mabalako,21,66,5,8,64,43,26,3613
20180912,North-Kivu,Mabalako,21,68,2,2,64,43,26,3654
20180913,North-Kivu,Mabalako,21,68,2,2,65,44,26,3667
20180914,North-Kivu,Mabalako,21,68,0,0,65,44,26,
20180915,North-Kivu,Mabalako,21,68,1,1,65,44,27,
20180916,North-Kivu,Mabalako,21,68,1,1,65,44,27,3826
20180917,North-Kivu,Mabalako,21,68,0,0,65,44,27,
20180918,North-Kivu,Mabalako,21,68,1,1,65,44,27,3935
20180919,North-Kivu,Mabalako,21,68,2,2,65,44,27,3935
20180920,North-Kivu,Mabalako,21,68,3,3,65,44,27,3980
20180921,North-Kivu,Mabalako,21,68,6,6,65,44,27,4014
20180922,North-Kivu,Mabalako,21,69,4,4,65,44,27,4056
20180923,North-Kivu,Mabalako,21,69,4,4,65,44,28,4065
20180924,North-Kivu,Mabalako,21,69,3,3,65,44,28,4122
20180925,North-Kivu,Mabalako,21,69,7,7,65,44,28,4122
20180926,North-Kivu,Mabalako,21,69,3,3,65,44,28,4122
20180927,North-Kivu,Mabalako,21,69,6,6,65,44,28,4122
20180928,North-Kivu,Mabalako,21,69,6,6,65,44,28,4152
20180929,North-Kivu,Mabalako,21,69,1,1,65,44,28,4193
20180930,North-Kivu,Mabalako,21,69,2,2,65,44,28,4207
20181001,North-Kivu,Mabalako,21,69,2,2,65,44,28,4207
20181002,North-Kivu,Mabalako,21,69,8,8,65,44,28,4254
20181003,North-Kivu,Mabalako,21,70,1,1,65,44,28,4254
20181004,North-Kivu,Mabalako,21,70,4,4,65,44,28,4269
20181005,North-Kivu,Mabalako,21,70,1,1,65,44,28,4269
20181006,North-Kivu,Mabalako,21,70,2,2,65,44,28,4269
20181007,North-Kivu,Mabalako,21,70,4,4,65,44,28,4289
20181008,North-Kivu,Mabalako,21,70,2,2,65,44,28,4289
20181009,North-Kivu,Mabalako,21,70,5,5,65,44,28,4289
20181010,North-Kivu,Mabalako,21,70,5,5,65,44,28,4289
20181011,North-Kivu,Mabalako,21,71,4,4,65,44,29,4289
20181012,North-Kivu,Mabalako,21,71,,,65,44,29,4315
20181013,North-Kivu,Mabalako,21,71,2,2,67,46,29,4351
20181014,North-Kivu,Mabalako,21,71,0,0,67,46,29,4391
20181015,North-Kivu,Mabalako,21,71,6,6,67,46,29,4391
20181016,North-Kivu,Mabalako,21,71,1,1,67,46,29,4391
