date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Mambasa,,,,,,,,
20180729,Ituri,Mambasa,,,,,,,,
20180730,Ituri,Mambasa,,,,,,,,
20180731,Ituri,Mambasa,,,,,,,,
20180801,Ituri,Mambasa,,,,,,,,
20180802,Ituri,Mambasa,,,,,,,,
20180803,Ituri,Mambasa,0,0,0,5,0,0,,
20180804,Ituri,Mambasa,,,,,,,,
20180805,Ituri,Mambasa,0,0,0,0,0,0,,
20180806,Ituri,Mambasa,,,,,,,,
20180807,Ituri,Mambasa,,,,,,,,
20180808,Ituri,Mambasa,,,,,,,,
20180809,Ituri,Mambasa,,,,,,,,
20180810,Ituri,Mambasa,,,,,,,,
20180811,Ituri,Mambasa,,,,,,,,
20180812,Ituri,Mambasa,,,,,,,,
20180813,Ituri,Mambasa,,,,,,,,
20180814,Ituri,Mambasa,,,,,,,,
20180815,Ituri,Mambasa,,,,,,,,
20180816,Ituri,Mambasa,,,,,,,,
20180817,Ituri,Mambasa,,,,,,,,
20180818,Ituri,Mambasa,,,,,,,,
20180819,Ituri,Mambasa,,,,,,,,
20180820,Ituri,Mambasa,,,,,,,,
20180821,Ituri,Mambasa,,,,,,,,
20180822,Ituri,Mambasa,,,,,,,,
20180823,Ituri,Mambasa,,,,,,,,
20180824,Ituri,Mambasa,,,,,,,,
20180825,Ituri,Mambasa,,,,,,,,
20180826,Ituri,Mambasa,,,,,,,,
20180827,Ituri,Mambasa,,,,,,,,
20180828,Ituri,Mambasa,,,,,,,,
20180829,Ituri,Mambasa,,,,,,,,
20180830,Ituri,Mambasa,,,,,,,,
20180831,Ituri,Mambasa,,,,,,,,
20180901,Ituri,Mambasa,,,,,,,,
20180902,Ituri,Mambasa,,,,,,,,
20180903,Ituri,Mambasa,,,,,,,,
20180904,Ituri,Mambasa,,,,,,,,
20180905,Ituri,Mambasa,,,,,,,,
20180906,Ituri,Mambasa,,,,,,,,
20180907,Ituri,Mambasa,,,,,,,,
20180908,Ituri,Mambasa,,,,,,,,
20180909,Ituri,Mambasa,,,,,,,,
20180910,Ituri,Mambasa,,,,,,,,
20180911,Ituri,Mambasa,,,,,,,,
20180912,Ituri,Mambasa,,,,,,,,
20180913,Ituri,Mambasa,,,,,,,,
20180914,Ituri,Mambasa,,,,,,,,
20180915,Ituri,Mambasa,,,,,,,,
20180916,Ituri,Mambasa,,,,,,,,
20180917,Ituri,Mambasa,,,,,,,,
20180918,Ituri,Mambasa,,,,,,,,
20180919,Ituri,Mambasa,,,,,,,,
20180920,Ituri,Mambasa,,,,,,,,
20180921,Ituri,Mambasa,,,,,,,,
20180922,Ituri,Mambasa,,,,,,,,
20180923,Ituri,Mambasa,,,,,,,,
20180924,Ituri,Mambasa,,,,,,,,
20180925,Ituri,Mambasa,,,,,,,,
20180926,Ituri,Mambasa,,,,,,,,
20180927,Ituri,Mambasa,,,,,,,,
20180928,Ituri,Mambasa,,,,,,,,
20180929,Ituri,Mambasa,,,,,,,,
20180930,Ituri,Mambasa,,,,,,,,
20181001,Ituri,Mambasa,,,,,,,,
