date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Mutwanga,,,,,,,,
20180729,North-Kivu,Mutwanga,,,,,,,,
20180730,North-Kivu,Mutwanga,,,,,,,,
20180731,North-Kivu,Mutwanga,,,,,,,,
20180801,North-Kivu,Mutwanga,,,,,,,,
20180802,North-Kivu,Mutwanga,,,,,,,,
20180803,North-Kivu,Mutwanga,,,,,,,,
20180804,North-Kivu,Mutwanga,,,,,,,,
20180805,North-Kivu,Mutwanga,,,,,,,,
20180806,North-Kivu,Mutwanga,,,,,,,,
20180807,North-Kivu,Mutwanga,,,,,,,,
20180808,North-Kivu,Mutwanga,,,,,,,,
20180809,North-Kivu,Mutwanga,,,,,,,,
20180810,North-Kivu,Mutwanga,,,,,,,,
20180811,North-Kivu,Mutwanga,,,,,,,,
20180812,North-Kivu,Mutwanga,,,,,,,,
20180813,North-Kivu,Mutwanga,,,,,,,,
20180814,North-Kivu,Mutwanga,,,,,,,,
20180815,North-Kivu,Mutwanga,,,,,,,,
20180816,North-Kivu,Mutwanga,,,,,,,,
20180817,North-Kivu,Mutwanga,,,,,,,,
20180818,North-Kivu,Mutwanga,,,,,,,,
20180819,North-Kivu,Mutwanga,,,,,,,,
20180820,North-Kivu,Mutwanga,,,,,,,,
20180821,North-Kivu,Mutwanga,,,,,,,,
20180822,North-Kivu,Mutwanga,,,,,,,,
20180823,North-Kivu,Mutwanga,,,,,,,,
20180824,North-Kivu,Mutwanga,,,,,,,,
20180825,North-Kivu,Mutwanga,,,,,,,,
20180826,North-Kivu,Mutwanga,,,,,,,,
20180827,North-Kivu,Mutwanga,,,,,,,,
20180828,North-Kivu,Mutwanga,,,,,,,,
20180829,North-Kivu,Mutwanga,,,,,,,,
20180830,North-Kivu,Mutwanga,,,,,,,,
20180831,North-Kivu,Mutwanga,,,,,,,,
20180901,North-Kivu,Mutwanga,,,,,,,,
20180902,North-Kivu,Mutwanga,,,,,,,,
20180903,North-Kivu,Mutwanga,,,,,,,,
20180904,North-Kivu,Mutwanga,,,,,,,,
20180905,North-Kivu,Mutwanga,,,,,,,,
20180906,North-Kivu,Mutwanga,,,,,,,,
20180907,North-Kivu,Mutwanga,,,,,,,,
20180908,North-Kivu,Mutwanga,,,,,,,,
20180909,North-Kivu,Mutwanga,,,,,,,,
20180910,North-Kivu,Mutwanga,,,,,,,,
20180911,North-Kivu,Mutwanga,,,,,,,,
20180912,North-Kivu,Mutwanga,,,,,,,,
20180913,North-Kivu,Mutwanga,,,,,,,,
20180914,North-Kivu,Mutwanga,,,,,,,,
20180915,North-Kivu,Mutwanga,,,,,,,,
20180916,North-Kivu,Mutwanga,,,,,,,,
20180917,North-Kivu,Mutwanga,,,,,,,,
20180918,North-Kivu,Mutwanga,,,,,,,,
20180919,North-Kivu,Mutwanga,,,,,,,,
20180920,North-Kivu,Mutwanga,,,,,,,,
20180921,North-Kivu,Mutwanga,,,,,,,,
20180922,North-Kivu,Mutwanga,,,,,,,,
20180923,North-Kivu,Mutwanga,,,,,,,,
20180924,North-Kivu,Mutwanga,,,,,,,,
20180925,North-Kivu,Mutwanga,,,,,,,,
20180926,North-Kivu,Mutwanga,,,,,,,,
20180927,North-Kivu,Mutwanga,,,,,,,,
20180928,North-Kivu,Mutwanga,,,,,,,,
20180929,North-Kivu,Mutwanga,,,,,,,,
20180930,North-Kivu,Mutwanga,,,,,,,,
20181001,North-Kivu,Mutwanga,,,,,,,,
20181002,North-Kivu,Mutwanga,,,,,,,,
20181003,North-Kivu,Mutwanga,,,,,,,,
20181004,North-Kivu,Mutwanga,,,,,,,,
20181005,North-Kivu,Mutwanga,,,,,,,,
20181006,North-Kivu,Mutwanga,,,,,,,,
20181007,North-Kivu,Mutwanga,,,,,,,,
20181008,North-Kivu,Mutwanga,,,,,,,,
20181009,North-Kivu,Mutwanga,,,,,,,,
20181010,North-Kivu,Mutwanga,,,,,,,,
20181011,North-Kivu,Mutwanga,,,,,,,,
