date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Tchomia,,,,,,,,
20180729,Ituri,Tchomia,,,,,,,,
20180730,Ituri,Tchomia,,,,,,,,
20180731,Ituri,Tchomia,,,,,,,,
20180801,Ituri,Tchomia,,,,,,,,
20180802,Ituri,Tchomia,,,,,,,,
20180803,Ituri,Tchomia,,,,,,,,
20180804,Ituri,Tchomia,,,,,,,,
20180805,Ituri,Tchomia,,,,,,,,
20180806,Ituri,Tchomia,,,,,,,,
20180807,Ituri,Tchomia,,,,,,,,
20180808,Ituri,Tchomia,,,,,,,,
20180809,Ituri,Tchomia,,,,,,,,
20180810,Ituri,Tchomia,,,,,,,,
20180811,Ituri,Tchomia,,,,,,,,
20180812,Ituri,Tchomia,,,,,,,,
20180813,Ituri,Tchomia,,,,,,,,
20180814,Ituri,Tchomia,,,,,,,,
20180815,Ituri,Tchomia,,,,,,,,
20180816,Ituri,Tchomia,,,,,,,,
20180817,Ituri,Tchomia,,,,,,,,
20180818,Ituri,Tchomia,,,,,,,,
20180819,Ituri,Tchomia,,,,,,,,
20180820,Ituri,Tchomia,,,,,,,,
20180821,Ituri,Tchomia,,,,,,,,
20180822,Ituri,Tchomia,,,,,,,,
20180823,Ituri,Tchomia,,,,,,,,
20180824,Ituri,Tchomia,,,,,,,,
20180825,Ituri,Tchomia,,,,,,,,
20180826,Ituri,Tchomia,,,,,,,,
20180827,Ituri,Tchomia,,,,,,,,
20180828,Ituri,Tchomia,,,,,,,,
20180829,Ituri,Tchomia,,,,,,,,
20180830,Ituri,Tchomia,,,,,,,,
20180831,Ituri,Tchomia,,,,,,,,
20180901,Ituri,Tchomia,,,,,,,,
20180902,Ituri,Tchomia,,,,,,,,
20180903,Ituri,Tchomia,,,,,,,,
20180904,Ituri,Tchomia,,,,,,,,
20180905,Ituri,Tchomia,,,,,,,,
20180906,Ituri,Tchomia,,,,,,,,
20180907,Ituri,Tchomia,,,,,,,,
20180908,Ituri,Tchomia,,,,,,,,
20180909,Ituri,Tchomia,,,,,,,,
20180910,Ituri,Tchomia,,,,,,,,
20180911,Ituri,Tchomia,,,,,,,,
20180912,Ituri,Tchomia,,,,,,,,
20180913,Ituri,Tchomia,,,,,,,,
20180914,Ituri,Tchomia,,,,,,,,
20180915,Ituri,Tchomia,,,,,,,,
20180916,Ituri,Tchomia,,,,,,,,
20180917,Ituri,Tchomia,,,,,,,,
20180918,Ituri,Tchomia,,,,,,,,
20180919,Ituri,Tchomia,,,,,,,,
20180920,Ituri,Tchomia,0,1,0,0,1,1,0,
20180921,Ituri,Tchomia,0,1,0,0,1,1,0,
20180922,Ituri,Tchomia,0,1,1,1,1,1,0,10
20180923,Ituri,Tchomia,0,2,0,0,1,1,0,27
20180924,Ituri,Tchomia,0,2,1,1,1,1,0,60
20180925,Ituri,Tchomia,0,2,3,3,1,1,0,108
20180926,Ituri,Tchomia,0,2,3,3,1,1,0,156
20180927,Ituri,Tchomia,0,2,4,4,1,1,0,177
20180928,Ituri,Tchomia,0,2,7,7,1,1,0,224
