date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,all,all,,,,,,,,
20180729,all,all,,,,,,,,
20180730,all,all,,,,,,,,
20180731,all,all,,,,,,,,
20180801,all,all,,,,,,,,
20180802,all,all,,,,,,,,
20180803,all,all,30,13,0,33,33,3,,
20180804,all,all,,,,,,,,
20180805,all,all,27,16,10,31,34,7,,
20180806,all,all,27,16,17,46,36,9,,
20180807,all,all,27,17,9,47,36,9,,
20180808,all,all,27,17,10,52,37,10,,
20180809,all,all,27,21,8,51,38,11,,
20180810,all,all,27,22,8,53,38,11,,
20180811,all,all,27,25,11,48,39,12,,
20180812,all,all,27,30,12,58,41,14,,
20180813,all,all,27,39,8,36,42,15,,
20180814,all,all,27,46,14,40,43,16,,
20180815,all,all,27,51,9,26,44,17,,316
20180816,all,all,27,60,8,21,47,20,,
20180817,all,all,27,63,9,25,49,22,,
20180818,all,all,27,64,8,12,50,23,,873
20180819,all,all,27,69,5,5,55,28,,1273
20180820,all,all,27,75,9,9,59,32,,1693
20180821,all,all,27,76,7,7,61,34,,2179
20180822,all,all,27,76,6,13,63,36,,2613
20180823,all,all,28,77,10,10,67,39,,2957
20180824,all,all,28,79,5,6,70,42,,3481
20180825,all,all,28,83,5,6,72,44,,3591
20180826,all,all,28,83,6,10,75,47,,4130
20180827,all,all,28,84,11,18,75,47,,4511
20180828,all,all,30,85,10,10,77,47,,4645
20180829,all,all,30,86,8,8,77,47,,4851
20180830,all,all,30,88,5,13,77,47,,5150
20180831,all,all,30,90,7,11,78,48,,5462
20180901,all,all,30,90,8,12,80,50,,5773
20180902,all,all,30,91,6,14,81,51,,5946
20180903,all,all,31,93,9,16,85,54,,6134
20180904,all,all,31,96,4,4,87,56,,6343
20180905,all,all,31,98,7,7,89,58,23,6486
20180906,all,all,31,98,9,9,89,58,33,6769
20180907,all,all,31,100,14,14,90,59,35,7069
20180908,all,all,31,100,12,20,90,59,35,7409
20180909,all,all,31,101,3,9,91,60,36,7780
20180910,all,all,31,101,7,9,92,61,37,8190
20180911,all,all,31,102,16,19,92,61,37,8444
20180912,all,all,31,106,17,17,92,61,37,8738
20180913,all,all,31,109,13,13,94,63,37,8963
20180914,all,all,31,109,5,5,95,64,37,
20180915,all,all,31,111,4,4,97,66,38,
20180916,all,all,31,111,7,7,97,66,38,9721
20180917,all,all,31,111,5,6,97,66,38,
20180918,all,all,31,111,9,9,97,66,38,10352
20180919,all,all,31,112,7,7,97,66,39,10663
20180920,all,all,31,116,11,11,99,68,39,10944
20180921,all,all,31,116,15,15,99,68,40,11109
20180922,all,all,31,118,12,12,100,69,40,11417
20180923,all,all,31,119,9,9,100,69,41,11563
20180924,all,all,31,120,11,11,101,70,41,11773
20180925,all,all,31,120,17,17,101,70,41,11921
20180926,all,all,31,123,11,11,101,70,43,12029
20180927,all,all,31,124,15,15,102,71,45,12250
